Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14
199,-73.8285714285714,50,199,129,119,120,199,0,0,199,0,0,0
200,-85,50,200,129,120,130,200,1,0,200,0,0,0
201,0,-3.8,201,130,120,121,201,0,0,201,0,0,0
202,2.26666666666667,-3.85555693103457,202,130,121,131,202,0,0,202,0,0,0
203,4.53333333333333,-4.04736846442864,203,131,121,122,203,0,0,203,0,0,0
204,6.8,-4.77142857142857,204,131,122,132,204,0,0,204,0,0,0
205,17.9714285714286,-4.77142857142857,205,132,122,123,205,0,0,205,0,0,0
206,29.1428571428571,-4.77142857142857,206,132,123,133,206,0,0,206,0,0,0
207,40.3142857142857,-4.77142857142857,207,133,123,124,207,0,0,207,0,0,0
208,51.4857142857143,-4.77142857142857,208,133,124,134,208,0,0,208,0,0,0
209,62.6571428571429,-4.77142857142857,209,34,23,125,209,0,0,209,0,0,0
210,73.8285714285714,-4.77142857142857,210,34,125,135,210,0,0,210,0,0,0
211,85,-4.77142857142857,211,135,125,126,211,0,0,211,47.7142857142857,0,0
212,0,-7.6,212,135,126,136,212,0,0,212,0,0,0
213,2.26666666666667,-7.71111386206914,213,136,126,127,213,0,0,213,0,0,0
214,4.53333333333333,-8.09473692885728,214,136,127,137,214,0,0,214,0,0,0
215,6.8,-9.54285714285714,215,137,127,128,215,0,0,215,0,0,0
216,17.9714285714286,-9.54285714285714,216,137,128,138,216,0,0,216,0,0,0
217,29.1428571428571,-9.54285714285714,217,138,128,129,217,0,0,217,0,0,0
218,40.3142857142857,-9.54285714285714,218,138,129,139,218,0,0,218,0,0,0
219,51.4857142857143,-9.54285714285714,219,139,129,130,219,0,0,219,0,0,0
220,62.6571428571429,-9.54285714285714,220,139,130,140,220,0,0,220,0,0,0
221,73.8285714285714,-9.54285714285714,221,140,130,131,221,0,0,221,0,0,0
222,85,-9.54285714285714,222,140,131,141,222,0,0,222,47.7142857142857,0,0
223,0,-11.4,223,141,131,132,223,0,0,223,0,0,0
